row_index,rank,feature,contribution,observed_value
104,2,f_064,-9.959584483915054e-06,10.9736
104,3,f_563,-9.343988822487533e-06,0.8343
104,4,f_448,-8.421056258734423e-06,0.9368
104,5,f_132,-8.105948799474274e-06,2.3712
1345,1,f_588,-0.43240092696916715,0.0286
1345,2,f_064,-0.06466549339887262,14.83
1345,3,f_216,-0.060243467412229544,0.0481
1345,4,f_499,-0.0435536356387267,773.444
1345,5,f_078,-0.0396212893547687,0.018
1031,1,f_132,-0.024387381853451233,2.4349
1031,2,f_078,-0.005722669906598992,0.0714
1031,3,f_542,-0.002576692556265147,0.1184
1031,4,f_103,-0.001984672104201864,-0.0146
1031,5,f_484,-0.001954358230642105,876.5217
713,1,f_366,-0.0011219955511832323,0.0218
713,2,f_563,-0.0001607612608450807,0.8327
713,3,f_448,-0.00011313373636591712,0.8488
713,4,f_177,-0.0001065675832554136,1.008
713,5,f_161,-9.77291947567315e-05,13156.0
652,1,f_548,-0.00039414052731203124,82.026
652,2,f_061,-0.00033751696028357905,9.5798
652,3,f_086,-0.00030968376707315195,2.345
652,4,f_161,-0.0001653049623558071,11233.0
652,5,f_588,-0.00015281329147330184,0.0126
1097,1,f_132,-0.2546007119896496,2.4196
1097,2,f_078,-0.14723961267476576,0.0847
1097,3,f_129,-0.0795263439322705,-2.505
1097,4,f_022,-0.0475616024802725,3299.0
1097,5,f_103,-0.03767970616126339,-0.0144
1242,1,f_078,-0.50413201198572,0.0869
1242,2,f_562,-0.3748411865983979,278.998
1242,3,f_210,-0.339962741954752,0.5164
1242,4,f_059,-0.32562467669331113,-5.7091
1242,5,f_162,-0.3205179031185393,20099.0
1439,1,f_056,-1.2957852286356558e-05,0.9161
1439,2,f_162,-9.912096961228703e-06,15651.0
1439,3,f_059,-8.446595389995349e-06,-3.5064
1439,4,f_139,-7.917625643354897e-06,1025.2109
1439,5,f_020,-7.472948687408054e-06,1.3829
1140,1,f_132,-0.0017575118724148858,2.416
1140,2,f_129,-0.0005326619384977597,-2.6
1140,3,f_448,-0.0003436277101982086,0.8384
1140,4,f_120,-0.00033175669181803575,6.5507
1140,5,f_177,-0.00032331822906478023,0.995
1004,1,f_129,-1.77697749411983e-07,-3.543
1004,2,f_078,-1.6420927321556843e-07,0.0875
1004,3,f_563,-8.312452308689734e-08,0.838
1004,4,f_059,-5.359114725505602e-08,-5.8818
1004,5,f_548,-5.314612922945774e-08,80.52
1552,1,f_417,-0.007604559573310569,20.9528
1552,2,f_563,-0.007469013482210682,0.8024
1552,3,f_086,-0.004624396289514895,2.3631
1552,4,f_542,-0.004032026011591526,0.1162
1552,5,f_144,-0.0038833327514307455,0.301
928,1,f_129,-1.1178798141952766e-06,-3.496
