feature,importance
f_029,0.00039363913774516536
f_297,0.0003919240162318649
f_486,0.00039127885590483475
f_219,0.0003898125068856767
f_306,0.0003884664806415751
f_212,0.0003868730743578975
f_071,0.0003825396445016107
f_004,0.00038175507653152494
f_211,0.0003809829951160669
f_542,0.00038072584308791854
f_255,0.00037776795224846215
f_574,0.0003773289601754412
f_009,0.00037619060024183176
f_359,0.0003743863198843242
f_331,0.00037379017916803434
f_572,0.00037199337002470054
f_354,0.00037198742766700137
f_092,0.00037166220405433206
f_196,0.0003684236033581886
f_126,0.000368372832886512
f_443,0.0003680624307406885
f_418,0.0003666329918323823
f_082,0.0003645739092101549
f_088,0.00036298873594881184
f_573,0.00036033559982825416
f_096,0.00035600130678643615
f_318,0.00035325899093795047
f_338,0.0003529100042116197
f_271,0.000351453854116208
f_321,0.0003510132860379931
f_361,0.0003494000428126804
f_456,0.0003467317412670158
f_067,0.0003449175549642071
f_107,0.0003446380673332787
f_106,0.0003433225660899157
f_083,0.0003429990117185524
f_569,0.0003367559693834248
f_589,0.00033610353652904865
f_274,0.00033548317842877764
f_439,0.00033387271580573535
f_302,0.00033378018119191693
f_289,0.0003299163139931215
f_438,0.00032905547104381986
f_269,0.0003279966435375436
f_204,0.00032633955709943563
f_032,0.0003260815005169058
f_441,0.00032499802124363826
f_080,0.00032264565931980945
f_430,0.0003175786754891592
f_564,0.00031450139355850183
f_353,0.00031424172761853984
f_198,0.00031418957545563696
f_020,0.0003063322350576563
f_584,0.00030486381984542565
f_024,0.000303391273857392
f_164,0.0003033367710446497
f_555,0.00029799906897100915
f_545,0.00029646161933894496
f_525,0.00029625164310761104
f_154,0.0002921365306079688
f_470,0.0002913089753775569
f_099,0.00028952902586131
f_011,0.00028896692461079893
f_436,0.00028832798315824064
f_570,0.00028829867236553026
f_482,0.00028420200521474086
f_002,0.0002841655904382903
f_098,0.00028239388656762723
f_500,0.0002810659904561775
f_277,0.00027660659736321823
f_060,0.0002712992954693525
f_406,0.0002711079560992003
f_142,0.00027108119843682166
f_335,0.0002703791171071886
f_077,0.00027000763753641516
f_412,0.00026903423743065486
f_278,0.00026824669825999044
f_308,0.0002680940605308634
f_415,0.0002658964879816722
f_392,0.0002644735958432213
f_556,0.00026061428383560134
f_413,0.00025948996636804137
f_546,0.0002571237881720233
f_203,0.000256944918978485
f_119,0.00025518836108908696
f_457,0.00025432510864280294
f_476,0.00025416016142290035
f_138,0.0002531914893617027
f_350,0.0002513538526216997
f_185,0.0002508854105941156
f_104,0.0002488397569089945
f_051,0.0002482190559302413
f_057,0.00024818895945768424
f_136,0.0002445233361683833
f_448,0.0002432953224383961
f_543,0.00024088381554698683
f_376,0.0002335478356619584
f_526,0.0002326452810419974
f_407,0.00023263971114800854
f_093,0.00023207487807395876
f_046,0.00022659522211861802
f_228,0.00022652412831693472
f_435,0.00022249851693749144
f_550,0.00022100738167607484
f_166,0.0002199840210959796
f_437,0.0002184624603147762
f_544,0.0002179387887311995
f_301,0.0002171212030272317
f_494,0.00021704709006289965
f_224,0.0002152583586626144
f_427,0.00021520022955556873
f_332,0.0002114687185650019
f_568,0.000209390780059001
f_120,0.00020731128879251972
f_339,0.00020698219713417322
f_471,0.00020267708062593804
f_177,0.000201640150146695
f_557,0.0002012090017314945
f_337,0.00019895696834093443
f_360,0.00019852755060555235
f_221,0.00019807503332028406
f_356,0.0001937123550215724
f_038,0.0001925749023013464
f_334,0.00018966898250488015
