model,feature,selected_folds,fraction
isolation_forest,f_268,15,1.0
isolation_forest,f_269,15,1.0
isolation_forest,f_270,15,1.0
isolation_forest,f_271,15,1.0
isolation_forest,f_272,15,1.0
isolation_forest,f_273,15,1.0
isolation_forest,f_274,15,1.0
isolation_forest,f_275,15,1.0
isolation_forest,f_277,15,1.0
isolation_forest,f_278,15,1.0
isolation_forest,f_279,15,1.0
isolation_forest,f_280,15,1.0
isolation_forest,f_281,15,1.0
isolation_forest,f_282,15,1.0
isolation_forest,f_283,15,1.0
isolation_forest,f_285,15,1.0
isolation_forest,f_286,15,1.0
isolation_forest,f_287,15,1.0
isolation_forest,f_288,15,1.0
isolation_forest,f_289,15,1.0
isolation_forest,f_290,15,1.0
isolation_forest,f_291,15,1.0
isolation_forest,f_294,15,1.0
isolation_forest,f_295,15,1.0
isolation_forest,f_296,15,1.0
isolation_forest,f_297,15,1.0
isolation_forest,f_298,15,1.0
isolation_forest,f_299,15,1.0
isolation_forest,f_300,15,1.0
isolation_forest,f_301,15,1.0
isolation_forest,f_302,15,1.0
isolation_forest,f_303,15,1.0
isolation_forest,f_304,15,1.0
isolation_forest,f_305,15,1.0
isolation_forest,f_306,15,1.0
isolation_forest,f_307,15,1.0
isolation_forest,f_308,15,1.0
isolation_forest,f_309,15,1.0
isolation_forest,f_310,15,1.0
isolation_forest,f_311,15,1.0
isolation_forest,f_312,15,1.0
isolation_forest,f_316,15,1.0
isolation_forest,f_317,15,1.0
isolation_forest,f_318,15,1.0
isolation_forest,f_319,15,1.0
isolation_forest,f_320,15,1.0
isolation_forest,f_321,15,1.0
isolation_forest,f_323,15,1.0
isolation_forest,f_324,15,1.0
isolation_forest,f_331,15,1.0
isolation_forest,f_332,15,1.0
isolation_forest,f_333,15,1.0
isolation_forest,f_334,15,1.0
isolation_forest,f_335,15,1.0
isolation_forest,f_336,15,1.0
isolation_forest,f_337,15,1.0
isolation_forest,f_338,15,1.0
isolation_forest,f_339,15,1.0
isolation_forest,f_340,15,1.0
isolation_forest,f_341,15,1.0
isolation_forest,f_342,12,0.8
isolation_forest,f_343,15,1.0
isolation_forest,f_344,15,1.0
isolation_forest,f_347,12,0.8
isolation_forest,f_348,15,1.0
isolation_forest,f_349,15,1.0
